1	2	6.640044	0.784211	-0.622754	-0.261408	2.242166	1.870891	4.466153	-3.628413	-1.899729	-0.378112	-1.016724	2.869839	-0.534993	7.083108	8.009859	-2.278160	-5.817751	-2.200023	7.865098	0.946452	1.710113	-14.035626	-0.019465	-4.092448	4.311329	9.170275	-2.751468	0.754766	-4.682463	1.512764	6.640044	0.784211	-0.622754	-0.261408	2.242166	1.870891	4.466153	-3.628413	-1.899729	-0.378112	-1.016724	2.869839	-0.534993	7.083108	8.009859	-2.278160	-5.817751	-2.200023	7.865098	0.946452	1.710113	-14.035626	-6.258208	-4.092448	4.311329	9.170275	2.527845	6.272707	-4.682463	3.643061
4	2	5.706552	8.230981	0.692303	1.394923	3.870740	4.935861	-1.187420	0.963381	6.576712	3.376552	2.319399	1.388580	-4.100365	6.415444	6.675851	0.357399	-3.990496	2.717999	-5.967602	-0.377696	-6.462635	0.328449	3.633355	-8.331788	0.014731	4.059338	-6.534395	8.828835	7.650420	1.420303	5.706552	8.230981	0.692303	1.394923	3.870740	4.935861	-1.187420	0.963381	6.576712	3.376552	2.319399	1.388580	-4.100365	6.415444	6.675851	0.357399	-3.990496	2.717999	-5.967602	-4.875586	-6.462635	0.328449	3.633355	-8.331788	0.014731	-0.930093	-6.534395	8.828835	7.650420	1.420303
6	2	6.212434	0.489988	-2.313671	-0.985757	-1.046956	1.807295	1.696639	5.757657	0.161304	-2.466629	-2.705899	2.205765	6.393663	7.898825	3.639467	-1.529240	-1.194535	5.399708	6.361710	0.822240	2.638690	0.768526	-11.251443	0.590557	4.488554	6.905658	1.122248	3.739555	0.569227	-3.160812	6.212434	0.489988	-2.313671	-0.985757	-1.046956	1.807295	1.696639	5.757657	0.161304	-2.466629	-2.705899	2.205765	6.393663	7.898825	3.639467	-1.529240	-1.194535	5.399708	6.361710	0.729186	2.638690	0.768526	-11.251443	0.590557	4.488554	0.882960	1.122248	3.739555	0.569227	-3.160812
14	2	6.539328	1.096340	-7.159958	-1.161661	3.263716	-0.695102	5.224042	-0.666771	-6.845670	-0.867820	0.782909	4.723594	1.601336	7.696162	6.123726	-3.387332	3.327438	-0.155876	7.932356	-2.927419	1.681599	-3.418878	-12.097990	6.509712	-0.385182	6.832970	3.252183	7.222678	0.924828	4.573084	6.539328	1.096340	-7.159958	-1.161661	3.263716	-0.695102	5.224042	-0.666771	-6.845670	-0.867820	0.782909	4.723594	1.601336	7.696162	6.123726	-3.387332	3.327438	-0.155876	7.932356	-8.004738	1.681599	-3.418878	-12.097990	6.509712	-0.385182	0.881218	3.252183	7.222678	0.924828	4.573084
16	2	6.296753	6.143211	-1.147912	-6.714187	4.658730	-6.098612	1.898774	0.828801	3.640633	6.655049	1.077506	6.524922	-3.931403	8.707651	5.362421	5.414966	3.222977	2.807146	5.060792	9.263759	-1.220465	-6.779183	-11.594636	1.477885	-13.353334	6.614093	6.574905	8.214941	5.372827	1.009603	6.296753	6.143211	-1.147912	-6.714187	4.658730	-6.098599	1.898774	0.828801	3.640633	6.655049	1.077506	6.524922	-3.931403	8.707651	5.362421	5.414966	3.222977	2.807146	5.060792	5.430881	-1.220465	-6.779183	-11.594636	1.477885	-13.353334	1.322236	6.574905	8.214941	5.372827	1.009603
17	2	4.889531	9.551294	3.813657	0.623638	1.998183	1.055251	-1.681940	0.447869	7.041414	1.987881	1.408458	-0.114617	-3.880840	5.198878	5.987181	3.846338	-1.217183	-6.470221	-3.596786	-6.736232	1.414531	5.790097	8.654642	-2.934578	-1.327015	-1.442874	-9.536791	-9.700862	5.488298	0.608038	4.889531	9.551294	3.813657	0.623638	1.998183	1.055251	-1.681940	0.447869	7.041414	1.987881	1.408458	-0.114617	-3.880840	5.198878	5.987181	3.846338	-1.217183	-6.470221	-3.596786	-3.445246	1.414531	5.790097	8.654642	-2.934571	-1.327015	4.122707	-9.536791	-9.700862	5.488298	0.608038
19	2	5.314609	2.401875	-10.332188	-0.116816	0.566985	-2.037060	2.002379	4.607436	0.328154	0.630848	-6.225329	3.604180	0.869950	6.526653	4.843555	-4.927541	-1.158338	4.752318	6.832559	1.879472	-3.704649	-6.038980	-9.723481	1.279933	-4.443755	-0.496036	6.840554	5.405250	4.881742	1.200786	5.314609	2.401875	-10.332188	-0.116816	0.566985	-2.037060	2.002379	4.607436	0.328154	0.630848	-6.225329	3.604180	0.869950	6.526653	4.843555	-4.927541	-1.158338	4.752318	6.832559	3.463969	-3.704649	-6.038980	-9.723481	1.279933	-4.443755	5.437076	6.840554	5.405250	4.881742	1.200786
21	2	6.045312	4.647754	3.178267	5.104729	1.220976	0.182107	6.300865	-9.656261	-4.495900	3.016613	0.969537	0.006361	5.697007	3.000828	7.579331	3.951333	-4.470060	-10.092618	6.079733	0.260572	0.710024	0.680256	-3.274162	-3.403734	-4.103649	3.533848	6.325734	8.112255	-1.209331	4.809267	6.045312	4.647754	3.178267	5.104729	1.220976	0.182107	6.300865	-9.656261	-4.495900	3.016613	0.969537	0.006361	5.697007	3.000828	7.579331	3.951333	-4.470060	-10.092618	6.079733	-3.226678	0.710024	0.680256	-3.274162	-3.403734	-4.103649	-2.247273	6.325734	8.112255	-1.209331	4.809267
24	2	7.021500	4.039954	1.169289	1.213234	-1.830441	4.776020	1.046215	4.564920	0.129500	2.725121	1.460222	0.316692	4.175989	7.708903	6.435062	-0.986978	-3.174651	4.693437	7.159712	-1.276539	-3.757028	2.064855	3.557979	6.130274	6.359394	0.795773	-6.095215	-3.653903	-4.948331	-4.223669	7.021500	4.039954	1.169289	1.213234	-1.830441	4.776020	1.046215	4.564920	0.129500	2.725121	1.460222	0.316692	4.175989	7.708903	6.435062	-0.986978	-3.174651	4.693437	7.159712	2.028008	-3.757028	2.064855	3.557979	6.130274	6.359394	6.694773	-6.095215	-3.653903	-4.948331	-4.223669
25	2	5.650909	7.207897	2.326237	2.186373	1.384535	5.301728	-6.223396	1.948275	6.697091	2.143013	-4.648465	1.519527	-0.203318	7.717662	7.784911	-3.050212	-0.102922	1.667201	-8.952722	-10.052234	-7.189579	6.757293	4.118679	-5.428441	4.874954	-3.926009	-8.000956	4.075615	3.756947	1.992435	5.650909	7.207897	2.326237	2.186373	1.384536	5.301728	-6.223395	1.948275	6.697091	2.143013	-4.648465	1.519527	-0.203319	7.717662	7.784911	-3.050212	-0.102922	1.667201	-8.952722	-10.052234	-7.189579	6.757293	7.399621	-5.428441	4.874954	-3.926009	-13.456926	1.381738	3.756947	0.355383
